track_name,artist_name,album_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,release_year
Nadie Como Tu,Wisin & Yandel,Wisin Y Yandel Presentan: Los Vaqueros,3E2jVBZU7fjRNB0m3PrrhF,0.81,0.723,4,-5.2,0,0.194,0.409,0.0,0.137,0.738,92.993,audio_features,3E2jVBZU7fjRNB0m3PrrhF,spotify:track:3E2jVBZU7fjRNB0m3PrrhF,https://api.spotify.com/v1/tracks/3E2jVBZU7fjRNB0m3PrrhF,https://api.spotify.com/v1/audio-analysis/3E2jVBZU7fjRNB0m3PrrhF,222867,4,72,2006
Me Estas Tentando,Wisin & Yandel,La Revolucion (Deluxe),7JVIiaJPFiZypYSOMREhhA,0.813,0.92,4,-2.643,0,0.055,0.279,6.93e-06,0.329,0.767,115.994,audio_features,7JVIiaJPFiZypYSOMREhhA,spotify:track:7JVIiaJPFiZypYSOMREhhA,https://api.spotify.com/v1/tracks/7JVIiaJPFiZypYSOMREhhA,https://api.spotify.com/v1/audio-analysis/7JVIiaJPFiZypYSOMREhhA,229680,4,72,2009
Pam Pam,Wisin & Yandel,Juntos Otra Vez,6d8owCU2kQ63h5bB8YYjv3,0.87,0.686,10,-6.396,1,0.0951,0.119,0.0,0.256,0.76,95.018,audio_features,6d8owCU2kQ63h5bB8YYjv3,spotify:track:6d8owCU2kQ63h5bB8YYjv3,https://api.spotify.com/v1/tracks/6d8owCU2kQ63h5bB8YYjv3,https://api.spotify.com/v1/audio-analysis/6d8owCU2kQ63h5bB8YYjv3,227400,4,69,2018
Abusadora,Wisin & Yandel,La Revolucion (Deluxe),6Zdjh0uRQPt22BPckJgvEj,0.775,0.786,1,-4.59,0,0.0503,0.0419,0.000413,0.0875,0.19,114.996,audio_features,6Zdjh0uRQPt22BPckJgvEj,spotify:track:6Zdjh0uRQPt22BPckJgvEj,https://api.spotify.com/v1/tracks/6Zdjh0uRQPt22BPckJgvEj,https://api.spotify.com/v1/audio-analysis/6Zdjh0uRQPt22BPckJgvEj,180387,4,70,2009
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Shreya Ghoshal,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",00ake6KfnzbZ2MaRLGqsyX,0.271,0.726,7,-6.504,1,0.0527,0.586,0.0,0.353,0.532,87.425,audio_features,00ake6KfnzbZ2MaRLGqsyX,spotify:track:00ake6KfnzbZ2MaRLGqsyX,https://api.spotify.com/v1/tracks/00ake6KfnzbZ2MaRLGqsyX,https://api.spotify.com/v1/audio-analysis/00ake6KfnzbZ2MaRLGqsyX,277500,4,62,2023
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Shreya Ghoshal,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",1AmwIgy0WYLJJ5e24aCFTm,0.468,0.658,2,-7.6,1,0.0668,0.81,0.0333,0.12,0.534,87.607,audio_features,1AmwIgy0WYLJJ5e24aCFTm,spotify:track:1AmwIgy0WYLJJ5e24aCFTm,https://api.spotify.com/v1/tracks/1AmwIgy0WYLJJ5e24aCFTm,https://api.spotify.com/v1/audio-analysis/1AmwIgy0WYLJJ5e24aCFTm,246989,4,58,2023
Pal,Shreya Ghoshal,Pal,5G7pZ8G8NFvS1MQ9H4L7dC,0.51,0.502,7,-7.016,0,0.0325,0.71,0.0,0.0708,0.321,133.885,audio_features,5G7pZ8G8NFvS1MQ9H4L7dC,spotify:track:5G7pZ8G8NFvS1MQ9H4L7dC,https://api.spotify.com/v1/tracks/5G7pZ8G8NFvS1MQ9H4L7dC,https://api.spotify.com/v1/audio-analysis/5G7pZ8G8NFvS1MQ9H4L7dC,247286,4,73,2018
Yimmy Yimmy,Shreya Ghoshal,Yimmy Yimmy,4dvfxZKehPxpz3UZ7A5Fni,0.617,0.715,2,-5.003,0,0.101,0.254,9.07e-06,0.0842,0.495,94.871,audio_features,4dvfxZKehPxpz3UZ7A5Fni,spotify:track:4dvfxZKehPxpz3UZ7A5Fni,https://api.spotify.com/v1/tracks/4dvfxZKehPxpz3UZ7A5Fni,https://api.spotify.com/v1/audio-analysis/4dvfxZKehPxpz3UZ7A5Fni,211869,4,74,2024
Saibo,Shreya Ghoshal,Shor in the City (Original Motion Picture Soundtrack),6udC4b4jOSnHb9ItnXgKLR,0.619,0.429,2,-7.867,1,0.028,0.738,1.35e-05,0.136,0.545,90.058,audio_features,6udC4b4jOSnHb9ItnXgKLR,spotify:track:6udC4b4jOSnHb9ItnXgKLR,https://api.spotify.com/v1/tracks/6udC4b4jOSnHb9ItnXgKLR,https://api.spotify.com/v1/audio-analysis/6udC4b4jOSnHb9ItnXgKLR,195253,4,74,2011
Zihaal e Miskin,Shreya Ghoshal,Zihaal e Miskin,51DEaelXeJJ6cFFYbX8Hal,0.581,0.632,9,-7.166,0,0.0331,0.259,0.0,0.0903,0.386,128.844,audio_features,51DEaelXeJJ6cFFYbX8Hal,spotify:track:51DEaelXeJJ6cFFYbX8Hal,https://api.spotify.com/v1/tracks/51DEaelXeJJ6cFFYbX8Hal,https://api.spotify.com/v1/audio-analysis/51DEaelXeJJ6cFFYbX8Hal,243953,4,74,2023
